20
82
96
[0, '10100111', '00010011', '10010111', '10000010', 0, 98, 2]
[0, '10100111', '00010011', '10000010', '10000010', 0, 98, 2]
[0, '10100111', '00010011', '11000000', '10011001', 0, 100, 3]
[0, '10100111', '00010011', '10011001', '10011001', 0, 100, 3]
[0, '10100111', '00010011', '11010101', '11011011', 0, 102, 4]
[0, '10100111', '00010011', '11011011', '11011011', 0, 102, 4]
[0, '10100111', '00010011', '10111110', '10101010', 0, 104, 5]
[0, '10100111', '00010011', '10101010', '10101010', 0, 104, 5]
[0, '10100111', '00010011', '10011110', '11101010', 0, 106, 6]
[0, '10100111', '00010011', '11101010', '11101010', 0, 106, 6]
[0, '10100111', '00010011', '11110010', '10111111', 0, 108, 7]
[0, '10100111', '00010011', '10111111', '10111111', 0, 108, 7]
[0, '10100111', '00010011', '10110100', '11010010', 0, 110, 8]
[0, '10100111', '00010011', '11010010', '11010010', 0, 110, 8]
[0, '10100111', '00010011', '10100101', '11100101', 0, 112, 9]
[0, '10100111', '00010011', '11100101', '11100101', 0, 112, 9]
[0, '10100111', '00010011', '11111101', '11010111', 0, 114, 10]
[0, '10100111', '00010011', '11010111', '11010111', 0, 114, 10]
[0, '10100111', '00010011', '10110011', '11111011', 0, 116, 11]
[0, '10100111', '00010011', '11111011', '11111011', 0, 116, 11]
[0, '10100111', '00010011', '10001001', '11010111', 0, 118, 12]
[0, '10100111', '00010011', '11010111', '11010111', 0, 118, 12]
[0, '10100111', '00010011', '11000001', '10111110', 0, 120, 13]
[0, '10100111', '00010011', '10111110', '10111110', 0, 120, 13]
[0, '10100111', '00010011', '11011101', '11000010', 0, 122, 14]
[0, '10100111', '00010011', '11000010', '11000010', 0, 122, 14]
[0, '10100111', '00010011', '11011011', '11011101', 0, 124, 15]
[0, '10100111', '00010011', '11011101', '11011101', 0, 124, 15]
[0, '10100111', '00010011', '10111001', '11010101', 0, 126, 16]
[0, '10100111', '00010011', '11010101', '11010101', 0, 126, 16]
[0, '10100111', '00010011', '10110100', '10110100', 0, 128, 17]
[0, '10100111', '00010011', '10110100', '10110100', 0, 128, 17]
[0, '10100111', '00010011', '11000100', '11101100', 0, 130, 18]
[0, '10100111', '00010011', '11101100', '11101100', 0, 130, 18]
[0, '10100111', '00010011', '11111101', '10111011', 0, 132, 19]
[0, '10100111', '00010011', '10111011', '10111011', 0, 132, 19]
[0, '10100111', '00010011', '01110001', '01111111', 0, 134, 20]
[0, '10100111', '00010011', '01111111', '01111111', 0, 134, 20]
[0, '10100111', '00010011', '10011011', '11111111', 0, 136, 21]
[0, '10100111', '00010011', '11111111', '11111111', 0, 136, 21]
[0, '10100111', '00010011', '10110001', '10000010', 0, 138, 22]
[0, '10100111', '00010011', '10000010', '10000010', 0, 138, 22]
[0, '10100111', '00010011', '10010010', '10001000', 0, 140, 23]
[0, '10100111', '00010011', '10001000', '10001000', 0, 140, 23]
[0, '10100111', '00010011', '11100111', '11010111', 0, 142, 24]
[0, '10100111', '00010011', '11010111', '11010111', 0, 142, 24]
[0, '10100111', '00010011', '11100010', '11110111', 0, 144, 25]
[0, '10100111', '00010011', '11110111', '11110111', 0, 144, 25]
[0, '10100111', '00010011', '10001111', '10001010', 0, 146, 26]
[0, '10100111', '00010011', '10001010', '10001010', 0, 146, 26]
[0, '10100111', '00010011', '10101011', '10101100', 0, 148, 27]
[0, '10100111', '00010011', '10101100', '10101100', 0, 148, 27]
[0, '10100111', '00010011', '11010111', '11110010', 0, 150, 28]
[0, '10100111', '00010011', '11110010', '11110010', 0, 150, 28]
[0, '10100111', '00010011', '10110010', '11110111', 0, 152, 29]
[0, '10100111', '00010011', '11110111', '11110111', 0, 152, 29]
[0, '10100111', '00010011', '10001101', '11011001', 0, 154, 30]
[0, '10100111', '00010011', '11011001', '11011001', 0, 154, 30]
[0, '10100111', '00010011', '11011011', '11001000', 0, 156, 31]
[0, '10100111', '00010011', '11001000', '11001000', 0, 156, 31]
[0, '10100111', '00010011', '11101010', '10111011', 0, 158, 32]
[0, '10100111', '00010011', '10111011', '10111011', 0, 158, 32]
[0, '10100111', '00010011', '10010010', '11100010', 0, 160, 33]
[0, '10100111', '00010011', '11100010', '11100010', 0, 160, 33]
[0, '10100111', '00010011', '11101110', '11010001', 0, 162, 34]
[0, '10100111', '00010011', '11010001', '11010001', 0, 162, 34]
[0, '10100111', '00010011', '11101001', '10111101', 0, 164, 35]
[0, '10100111', '00010011', '10111101', '10111101', 0, 164, 35]
[0, '10100111', '00010011', '11011100', '11001001', 0, 166, 36]
[0, '10100111', '00010011', '11001001', '11001001', 0, 166, 36]
[0, '10100111', '00010011', '11010101', '11001101', 0, 168, 37]
[0, '10100111', '00010011', '11001101', '11001101', 0, 168, 37]
[0, '10100111', '00010011', '11000000', '10011111', 0, 170, 38]
[0, '10100111', '00010011', '10011111', '10011111', 0, 170, 38]
[0, '10100111', '00010011', '10010001', '11011000', 0, 172, 39]
[0, '10100111', '00010011', '11011000', '11011000', 0, 172, 39]
[0, '10100111', '00010011', '11110000', '11101001', 0, 174, 40]
[0, '10100111', '00010011', '11101001', '11101001', 0, 174, 40]
[0, '10100111', '00010011', '11110000', '11101000', 0, 176, 41]
[0, '10100111', '00010011', '11101000', '11101000', 0, 176, 41]
[0, '10100111', '00010011', '11100111', '11001011', 0, 178, 42]
[0, '10100111', '00010011', '11001011', '11001011', 0, 178, 42]
[0, '10100111', '00010011', '11100011', '11111111', 0, 180, 43]
[0, '10100111', '00010011', '11111111', '11111111', 0, 180, 43]
[0, '10100111', '00010011', '11111100', '10101000', 0, 182, 44]
[0, '10100111', '00010011', '10101000', '10101000', 0, 182, 44]
[0, '10100111', '00010011', '10100111', '00010011', 0, 184, 45]
[0, '10100111', '00010011', 0, '00010011', 0, 184, 45]
[0, '10100111', '00010011', 0, '00010011', 0, 184, 45]
{'0x3e': '1101001111101010', '0xe4': '1000000110001110', '0x118': '1000010110110100', '0x3a': '1000111010010110', '0x3c': '1011010011101110', '0x112': '1100101010001100', '0xfa': '1100110011010000', '0x116': '1110111111101011', '0x114': '1011110110000110', '0x16a': '1001001010110000', '0xec': '1110100111111101', '0x28': '1000101111001101', '0xf8': '1111000011110100', '0x22': '1111111010111101', '0x20': '1000011011000111', '0x170': '1111000110010101', '0x26': '1111100111101001', '0xea': '1010001010100101', '0x24': '1011111110011011', '0x14c': '1010000010010011', '0xba': '1010010011110100', '0xe2': '1110110011011001', '0xee': '1011010010100010', '0x16c': '1001100111000000', '0x34': '1101110111011100', '0x36': '1110010111011000', '0x30': '1111100110001111', '0x32': '1011100011010000', '0x11c': '1000100011100001', '0x11a': '1001000111000010', '0x180': '1100010011101010', '0x38': '1010000111011110', '0x11e': '1101010010101010', '0xfe': '1101000011011011', '0x88': '1011000110000010', '0x14e': '1011111011011111', '0x142': '1001001110011101', '0x146': '1110001111110011', '0x2c': '1100001010001111', '0x2a': '1010111010011000', '0xfc': '1010101010111011', '0x2e': '1101001110111100', '0x5c': '1111100011110100', '0x5a': '1011110010101000', '0x8': '1110000011011110', '0x5e': '1110011011101010', '0x2': '1110100011101011', '0x6': '1000100111100001', '0x4': '1000101011001111', '0x40': '1101110110000101', '0x42': '1001100110100000', '0x16e': '1110011111101010', '0x44': '1000010111101000', '0x46': '1000111011000111', '0x48': '1010100110110110', '0x17a': '1101000011000011', '0x17c': '1010001011111001', '0x17e': '1000010011000000', '0xae': '1111000011101000', '0x144': '1000011110110000', '0xac': '1111000011101001', '0xaa': '1001000111011000', '0x104': '1110101011111110', '0x106': '1010000111011011', '0x100': '1110001011000101', '0x102': '1011000110111010', '0xe6': '1101110110010100', '0x108': '1010011111000100', '0x4a': '1000111011011001', '0x4c': '1110001011011110', '0x4e': '1100011111111000', '0x158': '1110000010000110', '0x52': '1101010010101011', '0x50': '1000000010011000', '0x56': '1111000111000001', '0x54': '1111000011011011', '0xc': '1010000011111101', '0xa': '1111100110011101', '0x58': '1111011111011011', '0xe': '1101100011001101', '0x10e': '1101011010111101', '0xf4': '1101010011111100', '0x10a': '1110101011000100', '0x10c': '1000001011101001', '0xf6': '1101000110000000', '0x172': '1110001111011001', '0x174': '1011111110100101', '0xa8': '1100000010011111', '0xa6': '1101010111001101', '0xa4': '1101110011001001', '0xa2': '1110100110111101', '0xa0': '1110111011010001', '0x7a': '1101101111011101', '0xf2': '1000110111001110', '0x7c': '1011100111010101', '0x7e': '1011010010110100', '0xf0': '1110111110000011', '0x68': '1001111011101010', '0x66': '1011111010101010', '0x64': '1101010111011011', '0x168': '1110011010100010', '0x62': '1100000010011001', '0x60': '1001011110000010', '0x162': '1100100110110100', '0x15e': '1000110110100100', '0x15c': '1001100110001001', '0x160': '1001110111001111', '0x15a': '1001100011100111', '0xce': '1101110010101101', '0xb8': '1100001110100010', '0xca': '1101101011000100', '0xcc': '1011111110101000', '0xb2': '1110001111111111', '0x166': '1101010111010010', '0xb0': '1110011111001011', '0xb6': '1010011100010011', '0xb4': '1111110010101000', '0x148': '1001000110000101', '0x164': '1010111111101111', '0xd6': '1001110111111100', '0x6e': '1010010111100101', '0x6c': '1011010011010010', '0x6a': '1111001010111111', '0x78': '1101110111000010', '0x70': '1111110111010111', '0x72': '1011001111111011', '0x74': '1000100111010111', '0x76': '1100000110111110', '0xc4': '1111010010101110', '0xc6': '1001100010000010', '0xc0': '1110010011110111', '0xc2': '1101000110000001', '0xbc': '1111001110101111', '0x18': '1100110111011110', '0xc8': '1001100111000011', '0xbe': '1001100111101011', '0x14a': '1110110110101110', '0x156': '1000001111111001', '0x154': '1000111011010100', '0x152': '1111001010101000', '0x150': '1011110010111011', '0xe8': '1111010111100010', '0x138': '1001010011000000', '0x134': '1101110111100101', '0x136': '1110001110110111', '0x130': '1000111010110101', '0x132': '1110010011000100', '0x110': '1011000010111110', '0x12e': '1010101010100010', '0x12c': '1001011011101010', '0x12a': '1010111010101100', '0xd0': '1101101111000001', '0x9e': '1001001011100010', '0x9c': '1110101010111011', '0x9a': '1101101111001000', '0xda': '1010111011010001', '0xd8': '1010111110011110', '0x84': '0111000101111111', '0x86': '1001101111111111', '0xdc': '1100011111001001', '0x80': '1100010011101100', '0x82': '1111110110111011', '0x140': '1000011010000110', '0x1e': '1101111011101100', '0x1c': '1111011011101011', '0x1a': '1011111011001010', '0xde': '1010101010110101', '0x128': '1011000010011011', '0x126': '1110111110111001', '0x124': '1110011110101100', '0x176': '1001111111100101', '0x122': '1101000011010000', '0xd2': '1111011111001111', '0x120': '1011001010100100', '0x178': '1000011110001001', '0x13e': '1000010111000000', '0xd4': '1000111010110000', '0x13a': '1000100110111111', '0x13c': '1101000111110010', '0x8e': '1110001011110111', '0xe0': '1010110010111101', '0x8a': '1001001010001000', '0x8c': '1110011111010111', '0x16': '1100001110000000', '0x14': '1010011100010011', '0x12': '1010001010010001', '0x10': '1010100011010001', '0x96': '1011001011110111', '0x94': '1101011111110010', '0x92': '1010101110101100', '0x90': '1000111110001010', '0x98': '1000110111011001'}
