(2, 0, 33)
(2, 3, 27)
(2, 6, 21)
(2, 9, 15)
(2, 12, 9)
(2, 15, 3)
(2, 18, 33)
(2, 21, 27)
(2, 24, 21)
(2, 27, 15)
(2, 30, 9)
(2, 33, 3)
(8, 0, 9)
(8, 3, 3)
(8, 6, 33)
(8, 9, 27)
(8, 12, 21)
(8, 15, 15)
(8, 18, 9)
(8, 21, 3)
(8, 24, 33)
(8, 27, 27)
(8, 30, 21)
(8, 33, 15)
(14, 0, 21)
(14, 3, 15)
(14, 6, 9)
(14, 9, 3)
(14, 12, 33)
(14, 15, 27)
(14, 18, 21)
(14, 21, 15)
(14, 24, 9)
(14, 27, 3)
(14, 30, 33)
(14, 33, 27)
(20, 0, 33)
(20, 3, 27)
(20, 6, 21)
(20, 9, 15)
(20, 12, 9)
(20, 15, 3)
(20, 18, 33)
(20, 21, 27)
(20, 24, 21)
(20, 27, 15)
(20, 30, 9)
(20, 33, 3)
(26, 0, 9)
(26, 3, 3)
(26, 6, 33)
(26, 9, 27)
(26, 12, 21)
(26, 15, 15)
(26, 18, 9)
(26, 21, 3)
(26, 24, 33)
(26, 27, 27)
(26, 30, 21)
(26, 33, 15)
(32, 0, 21)
(32, 3, 15)
(32, 6, 9)
(32, 9, 3)
(32, 12, 33)
(32, 15, 27)
(32, 18, 21)
(32, 21, 15)
(32, 24, 9)
(32, 27, 3)
(32, 30, 33)
(32, 33, 27)
