20
82
96
[0, '10100111', '00010011', '10100111', '10100111', 0, 98, 2, 0, 0, 0, 0, 0, 0, 0, 0]
this is happening
10107540
[0, '10100111', '00010011', '10100111', '10100111', 0, 98, 2, 0, 0, 0, 0, 0, 0, 0, 0]
this is happening
10006938
[0, '10100111', '00010011', '10000001', '11011100', 0, 100, 3, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11011100', '11011100', 0, 100, 3, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11100011', '11101001', 0, 102, 4, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11101001', '11101001', 0, 102, 4, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10010000', '10000001', 0, 104, 5, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10000001', '10000001', 0, 104, 5, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11000111', '10000000', 0, 106, 6, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10000000', '10000000', 0, 106, 6, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10001111', '11101000', 0, 108, 7, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11101000', '11101000', 0, 108, 7, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11101001', '11010010', 0, 110, 8, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11010010', '11010010', 0, 110, 8, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10100010', '11001010', 0, 112, 9, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11001010', '11001010', 0, 112, 9, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10001001', '11111100', 0, 114, 10, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11111100', '11111100', 0, 114, 10, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10111010', '10001010', 0, 116, 11, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '10001010', '10001010', 0, 116, 11, 0, 0, 0, 0, 0, 0, 0, 0]
[0, '10100111', '00010011', '11100011', '11111110', 0, 118, 12, 0, 0, 0, 0, 0, 0, 0, 0]
